MAC Address,Building,Room,Floor,X,Y,Z,PL0
00:26:52:db:23:70,ITB,ITBAWL-113,1,28,6,3,7
00:26:ca:b4:15:c0,ITB,ITBAWL-114,1,22.5,8,3,0
00:26:52:db:2a:f0,ITB,ITBAWL-102,1,42,15,3,3
00:27:0c:68:af:60,ITB,ITBAWL-201,2,42,9.5,6,29
00:26:ca:b4:16:80,ITB,ITBAWL-211,2,7,12.5,6,25
00:27:0c:68:bf:90,ITB,ITBAWL-220,2,23,4,6,30
00:3a:99:51:72:e0,ITB,ITBAWL-302,3,33,19,9,60
00:27:0c:68:b5:00,ITB,ITBAWL-304,3,23.6,11.5,9,60
00:27:0c:68:c9:80,ITB,ITBAWL-310,3,7.2,16.7,9,60
34:db:fd:97:79:b0,ITB,ITBAWL-B102,-1,36,15,0,39
34:db:fd:a5:b0:e0,ITB,ITBAWL-B102,-1,24.5,18,0,39
00:26:52:db:47:e0,ITB,ITBAWL-B106,-1,15,13,0,39
00:26:52:db:22:10,ITB,ITBAWL-B110(hallway?),-1,37.9,11.9,0,39
00:27:0c:68:c7:f0,ITB,ITBAWL-B111(110),-1,29,8.6,0,39
d0:c7:89:b4:70:90,ITB,ITBWL-102,1,29.8,63.4,3,7
0c:68:03:ea:42:10,ITB,ITBWL-115,1,9.8,56,3,1
50:17:ff:9f:35:60,ITB,ITBWL-128,1,44,36,3,6
50:17:ff:9f:38:80,ITB,ITBWL-135,1,42,51,3,1
64:e9:50:10:e1:f0,ITB,ITBWL-137,1,66.1,55.2,3,9
64:e9:50:10:df:c0,ITB,ITBWL-137,1,58,55.2,3,9
64:e9:50:10:e2:70,ITB,ITBWL-137,1,67.7,38.8,3,9
34:db:fd:b5:92:20,ITB,ITBWL-137,1,56.2,38.8,3,9
50:17:ff:9f:36:c0,ITB,ITBWL-185,1,74,66,3,7
50:17:ff:e4:75:00,ITB,ITBWL-201,2,48.4,65.8,6,6
34:db:fd:a5:ad:00,ITB,ITBWL-205,2,19.7,64,6,4
34:db:fd:b5:4a:00,ITB,ITBWL-208,2,16,56,6,2
e8:ed:f3:c2:fb:00,ITB,ITBWL-223,2,40.5,44,6,9
e8:ed:f3:9d:b5:f0,ITB,ITBWL-225,2,48,53.5,6,7.5
e8:ed:f3:d8:fb:f0,ITB,ITBWL-233,2,53.5,16.2,6,10
c0:25:5c:1e:24:60,ITB,ITBWL-235,2,59.5,7.5,6,18
e8:ed:f3:d8:d2:90,ITB,ITBWL-236,2,74,14,6,7
e8:ed:f3:c2:f6:40,ITB,ITBWL-237,2,74,27,6,7
0c:68:03:d7:11:a0,ITB,ITBWL-242,2,75,62.4,6,7